N,pH,EC,Zn,Fe,Output
282,7.5,0.63,0.09,1.03,1
364,7.9,0.53,0.7,1.21,1
339,8.3,0.67,0.28,1.36,2
383,8.1,0.6,0.4,0.67,2
370,7.5,0.56,0.37,0.74,1
295,8,0.32,0.34,0.77,1
270,8.3,0.69,0.31,0.81,1
377,8.1,0.55,0.37,1.11,1
220,8,0.38,0.4,0.72,0
207,7.4,0.32,0.34,0.78,0
264,7.9,0.49,0.36,0.83,1
220,7.5,0.54,0.32,0.77,0
213,7.8,0.1,0.34,1.22,1
370,7.3,0.38,0.36,0.77,1
383,7.8,0.41,0.37,0.66,2
351,7.9,0.45,0.38,0.74,1
377,7.8,0.64,0.37,0.88,2
364,7.3,0.33,0.34,0.88,2
333,7.4,0.57,0.34,1.29,1
301,7.5,0.3,0.4,1.13,1
201,7.6,0.68,0.42,0.81,0
358,7.3,0.62,0.44,0.67,2
345,7.1,0.56,0.33,0.47,1
370,7.3,0.34,0.36,1.33,1
257,7.1,0.75,0.4,0.97,0
339,7.5,0.31,0.44,0.44,1
377,7.8,0.55,0.42,0.69,1
351,7.9,0.43,0.37,1.28,1
339,7.5,0.79,0.13,1.45,1
201,7.8,0.46,0.09,1.44,1
345,7.9,0.82,0.09,1.44,1
333,7.3,0.3,0.27,1.87,1
351,7.5,0.37,0.21,0.71,1
295,8.2,0.38,0.36,2.25,1
282,8,0.62,0.47,7.15,1
257,7.4,0.73,0.25,3.26,1
270,7.9,0.36,0.21,9.05,1
289,7.3,0.64,0.34,4.55,1
301,7.8,0.6,0.51,6.28,1
295,7.2,0.37,0.27,1.05,1
276,7.3,0.63,0.33,6.25,1
326,7.9,0.51,0.28,8.25,1
270,7.5,0.82,0.45,1.32,1
289,8.1,0.58,0.37,4.51,1
314,8,0.47,0.25,3.25,1
345,7.9,0.49,0.59,7.54,1
307,7.3,0.66,0.51,6.05,1
339,7.2,0.88,0.34,8.21,1
314,7.9,0.39,0.28,3.25,1
333,7.4,0.42,0.34,1.96,1
351,7.6,0.37,0.28,1.05,1
358,7.8,0.32,0.33,2.51,1
301,7.3,0.77,0.52,7.15,1
326,7.4,0.4,0.48,3.25,1
314,7.8,0.61,0.29,9.02,1
320,7.94,0.69,0.41,4.15,1
358,7.02,0.48,0.39,3.22,1
345,7.85,0.38,0.35,6.21,1
314,7.04,0.43,0.42,4.15,1
333,7.62,0.51,0.51,2.11,1
339,7.67,0.32,0.33,8.02,1
326,7.88,0.71,0.28,3.02,1
351,7.96,0.51,0.22,4.51,1
301,7.05,0.95,0.34,6.25,1
251,7.87,0.4,0.29,1.25,1
326,7.01,0.42,0.43,7.15,1
289,7.03,0.5,0.51,3.02,1
276,7.91,0.46,0.33,4.15,1
245,7.02,0.51,0.28,3.25,1
345,7.44,0.29,0.24,8.06,1
320,7.58,0.44,0.39,6.21,1
270,7.32,0.68,0.45,1.05,1
333,7.43,0.61,0.37,1.26,2
358,7.8,0.29,0.26,5.26,2
245,7.01,0.64,0.35,1.25,1
314,7.51,0.56,0.42,3.02,1
307,7.34,0.85,0.53,7.54,1
326,7.37,0.87,0.47,6.33,1
320,7.41,0.42,0.25,1.52,1
345,7.43,0.42,0.36,4.52,1
307,7.52,0.93,0.54,9.62,1
295,7.35,0.52,0.48,8.05,1
276,7.47,0.51,0.26,10.22,1
301,8.19,0.57,0.35,6.32,1
282,7.38,0.82,0.29,4.51,1
295,7.35,0.7,0.22,7.54,1
326,8.02,0.75,0.57,2.02,1
358,7.42,0.85,0.46,1.89,1
314,7.23,0.28,0.35,3.22,1
301,8.1,0.38,0.26,7.54,1
220,7.29,0.84,0.39,4.15,1
276,7.35,0.85,0.22,3.02,1
282,7.34,0.59,0.41,8.05,1
264,7.9,0.63,0.33,3.22,1
195,7.49,0.42,0.53,7.12,0
188,7.34,0.43,0.34,6.33,0
226,7.37,0.62,0.57,9.21,1
213,7.41,0.38,0.49,6.3,1
201,7.43,0.53,0.55,8.21,1
207,7.52,0.69,0.38,4.56,1
220,7.35,0.67,0.42,7.02,1
276,7.47,0.41,0.28,3.85,1
226,8.19,0.63,0.49,8.05,1
207,7.38,0.34,0.52,6.96,1
270,7.35,0.39,0.45,7.41,1
295,8.02,0.42,0.33,8.02,1
238,7.42,0.72,0.5,4.58,1
207,7.23,0.49,0.41,9.63,1
182,8.1,0.68,0.39,4.21,0
232,7.29,0.75,0.48,7.53,1
289,7.35,0.43,0.52,6.3,1
195,7.34,0.56,0.41,7.04,2
207,7.29,0.58,0.27,8.62,1
238,7.28,0.44,0.37,4.51,1
201,7.25,0.43,0.54,8.35,1
345,7.37,0.62,0.48,7.05,2
238,7.41,0.46,0.52,6.51,1
201,7.28,0.43,0.32,9.53,1
232,7.45,0.44,0.24,4.51,1
314,7.41,0.8,0.51,7.63,2
195,7.33,0.74,0.38,3.52,0
226,7.29,0.72,0.5,8.05,1
238,7.43,0.59,0.46,9.26,1
182,7.55,0.48,0.32,4.15,0
182,7.38,0.83,0.44,7.52,0
213,7.37,0.45,0.44,7.52,1
226,7.34,0.39,0.46,3.5,1
213,7.41,0.42,0.59,6.53,1
333,7.43,0.73,0.59,6.53,1
238,7.41,0.88,0.38,7.05,0
201,7.4,0.51,0.26,4.35,0
195,7.52,0.49,0.38,8.36,0
270,7.55,0.53,0.63,7.02,1
195,7.47,0.53,0.4,4.96,0
213,7.29,0.52,0.49,8.51,0
201,7.48,0.81,0.53,5.6,0
232,7.35,0.53,0.42,9.05,0
226,7.44,0.76,0.5,6.35,0
257,7.47,0.49,0.37,7.41,0
245,7.42,0.71,0.61,8.05,0
245,7.65,0.49,0.59,4.05,0
264,7.24,0.47,0.29,9.35,1
276,7.62,0.62,0.29,9.35,1
320,7.38,0.65,0.38,5.41,2
264,7.49,0.74,0.51,5.8,0
333,8.26,0.48,0.6,7.62,2
295,8.4,0.38,0.39,6.23,1
282,7.95,0.62,0.44,4.12,1
257,7.58,0.73,0.29,3.25,0
270,7.47,0.36,0.37,5.21,1
289,7.18,0.64,0.41,7.15,1
301,7.2,0.6,0.59,3.52,1
295,7.12,0.37,0.36,8.02,1
276,7.01,0.63,0.51,9.06,1
326,7.13,0.51,0.29,4.85,2
270,7,0.82,0.48,3.06,1
289,7.01,0.58,0.63,8.35,1
314,7,0.47,0.44,4.6,1
345,7,0.49,0.5,6.32,1
307,7.02,0.66,0.68,4.88,1
339,7,0.88,0.54,7.15,1
314,7.03,0.39,0.39,6.23,1
333,7.1,0.42,0.75,4.96,2
351,7.82,0.37,0.36,5.51,2
358,7.01,0.32,0.42,9.23,1
301,7,0.77,0.66,4.53,1
326,7.33,0.4,0.51,9.03,2
314,7.41,0.61,0.27,4.59,1
320,7.94,0.69,0.48,7.63,1
358,7.02,0.48,0.29,3.56,2
345,7.85,0.38,0.35,8.54,2
314,7.04,0.43,0.17,6.11,2
333,7.62,0.51,0.26,3.05,2
339,7.67,0.32,0.33,7.96,1
326,7.88,0.71,0.21,8.63,1
351,7.96,0.51,0.36,4.69,1
264,7.24,0.47,0.35,8.26,1
276,7.62,0.62,0.42,3.57,1
320,7.38,0.65,0.58,4.58,2
264,7.49,0.74,0.45,7.36,0
